word,label
กรุ่ม,pos
กล้าหาญ,pos
พบ,pos
เจอ,pos
ช่วย,pos
เล่น,pos
อนุมัติ,pos
ปรองดอง,pos
รวดเร็ว,pos
ชัดแจ้ง,pos
ชัดแจ๋ว,pos
ชัดถ้อยชัดคำ,pos
โปรด,pos
นิรโทษ,pos
หวาน,pos
น่ารื่นรมย์,pos
ปาฏิหาริย์,pos
หายาก,pos
ไม่เคย,pos
น่ากอด,pos
ความเป็นกลาง,pos
เป็นกลาง,pos
ขอบใจ,pos
ขอบคุณ,pos
ศานติ,pos
ประหยัด,pos
คิดถึง,pos
อบอุ่น,pos
ความสุข,pos
เคารพ,pos
นับถือ,pos
รักษา,pos
คำนึงถึง,pos
สรรเสริญ,pos
ติดตาม,pos
ประทับใจ,pos
บำรุง,pos
ซาบซึ้ง,pos
เชื่อฟัง,pos
ไม่หวั่น,pos
รอยยิ้ม,pos
ยิ้ม,pos
ระวัง,pos
นมัสการ,pos
ภูมิใจ,pos
มงคล,pos
มงคลสมรส,pos
มหัศจรรย์,pos
มหัศจรรย์ใจ,pos
มีความรู้,pos
มีความยินดี,pos
มีความหวัง,pos
น่าประหลาด,pos
อดออม,pos
อนุโมทนา,pos
คว้ารางวัล,pos
คุ้มครอง,pos
คุ้มครองรักษา,pos
ทำลายสถิติ,pos
ทำสำเร็จ,pos
ที่เชื่อถือได้,pos
ไม่เป็นอันตราย,pos
เงียบสงบ,pos
ปลอดภัย,pos
ที่ปลอดภัย,pos
ทำบุญ,pos
ทำบุญทำทาน,pos
หยุดนิ่ง,pos
รักสงบ,pos
มากมาย,pos
ตกลง,pos
ซื่อสัตย์,pos
เป็นกันเอง,pos
โดดเด่น,pos
ตามควร,pos
ขยันหมั่นเพียร,pos
มีประสิทธิภาพ,pos
ความชื่นชม,pos
ความชื่นชมยินดี,pos
ความชื่นชอบ,pos
ความชื่นบาน,pos
ความดี,pos
ความดีงาม,pos
ความดีใจ,pos
ความทัดเทียม,pos
เสถียรภาพ,pos
ชนะ,pos
เสริมสร้าง,pos
ความแข็งแรง,pos
สร้าง,pos
เพลิดเพลิน,pos
ความรัก,pos
สมดุล,pos
ยังชีพ,pos
น่านับถือ,pos
สด,pos
สนใจไยดี,pos
เกียรติ,pos
มีประโยชน์,pos
มีเหตุผล,pos
ทุ่มเท,pos
โรแมนติก,pos
ถูกกาลเทศะ,pos
มีชีวิตชีวา,pos
มีชีวิตรอด,pos
มีชื่อ,pos
มีชื่อเสียง,pos
ตื่นเต้น,pos
กระตือรือร้น,pos
พร้อม,pos
มั่นอกมั่นใจ,pos
ลงตัว,pos
คล่องแคล่ว,pos
คล่องมือ,pos
คล่องตัว,pos
ใส่ใจ,pos
ไม่ได้ยอมแพ้,pos
เมตตา,pos
มีประสิทธิผล,pos
มีอิสรภาพ,pos
มีเงินทอง,pos
มีเงินมีทอง,pos
สนใจ,pos
สุขสันต์,pos
ชอบด้วยกฎหมาย,pos
ชอบธรรม,pos
เห็นด้วย,pos
สนุก,pos
คบค้า,pos
คบหา,pos
คบหาสมาคม,pos
คณิกา,pos
ความสงบ,pos
สงบ,pos
ประมาณ,pos
ประชาธิปไตย,pos
คุณค่า,pos
อย่า,pos
ฟรี,pos
ให้กำลังใจ,pos
กำลังใจ,pos
ให้ความร่วมมือ,pos
ให้ความสนใจ,pos
ขอพร,pos
ใจรัก,pos
เชื่อมั่น,pos
ความเชื่อมั่น,pos
ความเชื่อมั่นในตนเอง,pos
เอาใจใส่,pos
เอาใจเขามาใส่ใจเรา,pos
ความเอาใจใส่,pos
ความเอื้ออาทร,pos
ความเอื้อเฟื้อ,pos
พอใจ,pos
น่าพอใจ,pos
น่าประทับใจ,pos
น่าพึงพอใจ,pos
น่าฟัง,pos
น่าภาคภูมิใจ,pos
น่ามหัศจรรย์,pos
น่ายกย่อง,pos
น่ายินดี,pos
สนุกสนาน,pos
กระจุกกระจิก,neg
กระดาน,neg
แก่,neg
เกรียน,neg
เกเร,neg
เกิน,neg
ขวางโลก,neg
ขัดสมาธิ,neg
ขุ่น,neg
คมคาย,neg
กระเซอะกระเซิง,neg
เคร่งขรึม,neg
เครียด,neg
งอ,neg
งอแง,neg
โง่,neg
จังไร,neg
จัญไร,neg
เจือ,neg
เจือจาง,neg
ต่ำ,neg
ต่ำต้อย,neg
ฉูดฉาด,neg
ชั่ว,neg
ชู้สาว,neg
ซวย,neg
ซ้ำ,neg
ซ้ำซ้อน,neg
ซ้ำร้าย,neg
เซ่อ,neg
ดุดัน,neg
ดุร้าย,neg
ตกม้าตาย,neg
ทราม,neg
ทะลุ,neg
ทุเรศ,neg
เทียม,neg
นักเลง,neg
ลบ,neg
เบื่อ,neg
ปรัมปรา,neg
เท็จ,neg
ตอแหล,neg
ตาขาว,neg
ฉุนเฉียว,neg
เฉโก,neg
เฉื่อย,neg
ชะงัด,neg
ซุกซน,neg
เซ,neg
เซา,neg
ดื้อ,neg
เดียรดาษ,neg
ตรงข้าม,neg
ตระหนี่ถี่เหนียว,neg
ติดเชื้อ,neg
เตี้ย,neg
ถวัล,neg
ทรหด,neg
ทื่อ,neg
น้อย,neg
น่าย,neg
บิ่น,neg
บุ๋ม,neg
เบี่ยง,neg
ป้อ,neg
ปากเสีย,neg
ปากหมา,neg
ปาราชิก,neg
เป็นลม,neg
เปล่าเปลี่ยว,neg
เปื่อย,neg
แปร่ง,neg
ผรุส,neg
ผิด,neg
ผิดหวัง,neg
เผ็ดร้อน,neg
เผล,neg
แผลง,neg
พด,neg
พล่าน,neg
พิการ,neg
พี,neg
ฟก,neg
เพี้ยน,neg
แพง,neg
ฟาง,neg
แฟบ,neg
มัวหมอง,neg
โมเม,neg
ยับ,neg
ยืด,neg
ยุ่งเหยิง,neg
โย้,neg
รกเรื้อ,neg
ร่อแร่,neg
รัดกุม,neg
ร้าย,neg
ร้ายกาจ,neg
ริบ,neg
รุนแรง,neg
รุกรุย,neg
รุ่ยร่าย,neg
ล้ม,neg
ลัก,neg
ล้าสมัย,neg
ลำบาก,neg
ล้ำ,neg
เลว,neg
โลเล,neg
ว่ายาก,neg
วิปโยค,neg
วิประโยค,neg
วิเวก,neg
สลัว,neg
สวก,neg
สวะ,neg
สะเหล่อ,neg
สั้น,neg
สันหลังยาว,neg
สับปลับ,neg
สัพเพเหระ,neg
สิ้นสติ,neg
สูญ,neg
เสีย,neg
เสื่อมโทรม,neg
เสื่อมเสีย,neg
โสโครก,neg
โสมม,neg
หงุดหงิด,neg
หน้าด้าน,neg
หนาว,neg
หมองมัว,neg
หมิ่น,neg
หยาบ,neg
หยอก,neg
หรี่,neg
หลง,neg
ห่วย,neg
หวิว,neg
หวะ,neg
หึง,neg
หัวสูง,neg
เหงา,neg
เหม็น,neg
เหี้ย,neg
เหียก,neg
เหี้ยมโหด,neg
แหย,neg
โหดร้าย,neg
โหดเหี้ยม,neg
ไหม้,neg
อกตัญญู,neg
อกแตก,neg
อลัชชี,neg
อ้วก,neg
อ้วน,neg
อ๋อง,neg
อ่อนเพลีย,neg
อื้อฉาว,neg
เอน,neg
﻿ฆ่า,neg
ตัด,neg
ข่ม,neg
ข่มขืน,neg
ขโมย,neg
ตาย,neg
ตก,neg
เสียใจ,neg
กดดัน,neg
กัก,neg
กดขี่,neg
กักขัง,neg
กระชาก,neg
กระวนกระวาย,neg
กระแทก,neg
กระทืบ,neg
ก่อกวน,neg
ก่อกรรมทำเข็ญ,neg
กระทำชำเรา,neg
กระทำอนาจาร,neg
กระแทกกระทั้น,neg
กระตุกหนวดเสือ,neg
กระอัก,neg
กระหึ่ม,neg
กริ่งใจ,neg
โกหก,neg
กราดเกรี้ยว,neg
กวาดล้าง,neg
กรรโชก,neg
กดราคา,neg
ร้องไห้,neg
กลัว,neg
กลั่นแกล้ง,neg
เศร้า,neg
กำเริบ,neg
แกว่ง,neg
ขัดใจ,neg
กล่าวหา,neg
ก้าวก่าย,neg
กำจัด,neg
กังขา,neg
กอบโกย,neg
กวน,neg
กวนตีน,neg
กัด,neg
กังวล,neg
เกร็ง,neg
เกรงกลัว,neg
เกรงใจ,neg
เกลียด,neg
เกลื่อน,neg
แก่งแย่ง,neg
ข่มขวัญ,neg
ข่มขี่,neg
ข่มขู่,neg
ขวาง,neg
ขัดขืน,neg
ขัดข้อง,neg
ขัดขวาง,neg
ร้องเรียน,neg
ขัง,neg
ขาดแคลน,neg
ขาดทุน,neg
ขายชาติ,neg
ขายขี้หน้า,neg
ขายหน้า,neg
ขาลง,neg
ขี้,neg
ขีดฆ่า,neg
ขี้โม้,neg
ขืน,neg
ขืนใจ,neg
ขู่,neg
ขู่เข็ญ,neg
ขูดรีด,neg
เขี่ย,neg
เขวี้ยง,neg
คต,neg
คดโกง,neg
คดงอ,neg
ครอบงำ,neg
คลื่นไส้,neg
คลาดเคลื่อน,neg
คว้าน้ำเหลว,neg
คว่ำ,neg
คว่ำบาตร,neg
คอร์รัปชัน,neg
คะนอง,neg
คับ,neg
คับคั่ง,neg
คัด,neg
คัดค้าน,neg
ค้าง,neg
ค้างคา,neg
ค้างคาใจ,neg
คาใจ,neg
คุกเข่า,neg
คุ้มเกรง,neg
คุมขัง,neg
คุมตัว,neg
เค้น,neg
เคร่ง,neg
เคร่งเครียด,neg
เคราะห์ซ้ำกรรมซัด,neg
เคือง,neg
แค้น,neg
ใคร่ครวญ,neg
ฆ่าแกง,neg
ฆาต,neg
ฆ่าตัดตอน,neg
ฆ่าฟัน,neg
ฆ่าไม่ตายขายไม่ขาด,neg
ฆ่ายกครัว,neg
ฆ่าล้างโคตร,neg
เฆี่ยน,neg
งง,neg
งงงวย,neg
งก,neg
งด,neg
เงี่ยน,neg
จน,neg
จม,neg
จำโซ่,neg
จิก,neg
จำนำ,neg
จิตตก,neg
จับกุม,neg
จำกัด,neg
เจ็บ,neg
เจ็บไข้,neg
เจ็บใจ,neg
ฉ้อ,neg
ฉี่,neg
ฉีก,neg
ชก,neg
ชดใช้,neg
ช่วงชิง,neg
ช็อก,neg
ชะงัก,neg
ชะลอ,neg
ชัก,neg
ชักกระตุก,neg
ชักใย,neg
ชัง,neg
ช้ำใจ,neg
ชิง,neg
ชิงชัง,neg
ชิงดีชิงเด่น,neg
ชิงนรกเกิด,neg
ชิงสุกก่อนห่าม,neg
ชิงหมาเกิด,neg
ซ่อน,neg
ซึม,neg
ซึมซาบ,neg
ซ้ำเติม,neg
ซุก,neg
ซุกซ่อน,neg
แซว,neg
แซะ,neg
ไซ้,neg
เณรคุณ,neg
ด้อย,neg
ดัดสันดาน,neg
ดับ,neg
ด่า,neg
ด่าทอ,neg
ดิ้น,neg
ดุ,neg
ดูแคลน,neg
ดูถูก,neg
ดูหมิ่น,neg
ดูหมิ่นถิ่นแคลน,neg
เดา,neg
เดือด,neg
เดือดดาล,neg
เดือดร้อน,neg
แดก,neg
แดกดัน,neg
โดน,neg
ได้เสีย,neg
ตกงาน,neg
ตกใจ,neg
ตกนรกทั้งเป็น,neg
ตกหลุม,neg
ตกหลุมพราง,neg
ตั้งแง่,neg
ตายดาบหน้า,neg
ตรม,neg
ตบ,neg
ตบตา,neg
ตราหน้า,neg
ต่อต้าน,neg
ตอบโต้,neg
ต่อย,neg
ต่อสู้,neg
ตะลุมบอน,neg
ตัดขาด,neg
ต้าน,neg
ตายด้าน,neg
ตาลาย,neg
ตำหนิ,neg
ติ,neg
ติเตียน,neg
ติดขัด,neg
ตัดพ้อ,neg
ตัดพ้อต่อว่า,neg
ตี,neg
ตีกิน,neg
ถอน,neg
ถีบ,neg
ทรยศ,neg
ถึงฆาต,neg
ทรุด,neg
ท่วม,neg
ท้อ,neg
ทะลึ่ง,neg
ทักท้วง,neg
ทุบ,neg
ทุบตี,neg
เท,neg
เทกระจาด,neg
แทง,neg
แทงใจดำ,neg
นอกใจ,neg
เนรคุณ,neg
บกพร่อง,neg
บด,neg
บ่น,neg
บ่อน,neg
บ่อนทำลาย,neg
บาด,neg
บาดหมาง,neg
บานปลาย,neg
บิด,neg
บิดเบือน,neg
เบน,neg
เบียด,neg
เบียดเบียน,neg
เบื่อหน้า,neg
โบ้ย,neg
ปฏิเสธ,neg
ปด,neg
ปน,neg
ประจาน,neg
ประจาร,neg
ประชด,neg
ประชดประชัน,neg
ประณาม,neg
ประท้วง,neg
ประมาท,neg
ปรับ,neg
ปราบ,neg
ปราบปราม,neg
ปลงใจ,neg
ป่วย,neg
ปลงชีวิต,neg
ปลง,neg
ปล้น,neg
ปล้นสะดม,neg
ปลอม,neg
ปรำ,neg
ปวด,neg
ปลอมปน,neg
ปะทะ,neg
ปะปน,neg
ปาด,neg
เปลือง,neg
โป๊,neg
ผลัก,neg
ผัด,neg
ผัดวันประกันพรุ่ง,neg
ผ่า,neg
เผ่น,neg
ลืม,neg
หลบหนี,neg
ความขมขื่น,neg
ความขมุกขมัว,neg
ความขุ่นเคือง,neg
ความข้องใจ,neg
ความฉิบหาย,neg
ความชั่วช้า,neg
ความซ้ำซ้อน,neg
ความดื้อ,neg
ความทรุดโทรม,neg
ฟุ่มเฟือย,neg
ฟุ้งเฟ้อ,neg
คลุมเครือ,neg
คลุมถุงชน,neg
ช้า,neg
วิกฤติ,neg
เจ็บปวด,neg
ความลึกลับ,neg
เผด็จการ,neg
ขัดแย้ง,neg
องควิการ,neg
รังเกียจ,neg
อกหัก,neg
ไร้สาระ,neg
คงขาด,neg
คบชู้,neg
ครหา,neg
คบชู้สู่ชาย,neg
กำกวม,neg
มืด,neg
ฮือ,neg
ลึกลับ,neg
กลุ้มใจ,neg
น่ากลัว,neg
เกียจคร้าน,neg
เศร้าใจ,neg
ไม่มีทางรักษา,neg
สิ้นหวัง,neg
ไร้ผล,neg
อัมพาต,neg
เศร้าซึม,neg
สลดใจ,neg
ท้อแท้,neg
น่าเบื่อ,neg
กระสับกระส่าย,neg
คระหาย,neg
กระหาย,neg
คระเมิม,neg
คบไม่ได้,neg
ไม่สน,neg
ยาก,neg
โทรม,neg
ไม่เชื่อ,neg
บรรลัย,neg
ทำสงคราม,neg
ทำอันตราย,neg
ทำเป็นทองไม่รู้ร้อน,neg
ทำเป็นเล่น,neg
ทำเล่นๆ,neg
ทำโดยพลการ,neg
ทำเอาเจ็บ,neg
ทิ้งขว้าง,neg
ทิ้งๆ ขว้างๆ,neg
ไม่รู้คุณ,neg
ไม่รู้จบรู้สิ้น,neg
ทำใจไม่ได้,neg
ดูไม่ได้,neg
ด่ากลับ,neg
ไม่รู้ไม่ชี้,neg
ไม่ลงตัว,neg
วุ่นวาย,neg
วุ่นวายใจ,neg
ก่อความวุ่นวาย,neg
สับสนวุ่นวาย,neg
สับสน,neg
ไม่รู้สึกตัว,neg
ไม่ลงรอย,neg
ไม่ลงรอยกัน,neg
ไม่สบายใจ,neg
ไม่สมบูรณ์,neg
ไม่สมฐานะ,neg
ไม่สม่ำเสมอ,neg
ไม่สมควร,neg
ไม่อร่อย,neg
ไม่เข้ากัน,neg
ไม่เจียมกะลาหัว,neg
ไม่เหมาะสม,neg
ไม่เห็นค่า,neg
ไม่เห็นด้วย,neg
ละเลย,neg
มีโทษ,neg
มอมเมา,neg
มอมเหล้า,neg
มากเกินไป,neg
มีความผิด,neg
มีชู้,neg
มีปัญหา,neg
ไม่เอาไหน,neg
ไม่ใช่,neg
ไม่ได้เรื่อง,neg
ไม่ไว้วางใจ,neg
ไม่ไว้หน้าใคร,neg
ไม่ไว้ใจ,neg
ไม่ไหว,neg
อดไม่ไหว,neg
ทนไม่ไหว,neg
สละสิทธิ์,neg
ขับไล่,neg
ขับไล่ไสส่ง,neg
ไล่ออก,neg
เมื่อย,neg
ทำร้าย,neg
ไม่สวย,neg
ไม่สะไม่สวย,neg
ทำมิดีมิร้าย,neg
ทำลายขวัญ,neg
ทำลายล้าง,neg
ฆ่า,neg
ทุจริต,neg
ร้อนตัว,neg
ร้าว,neg
ร้าวราน,neg
เมา,neg
ลดเกียรติ,neg
ลาตาย,neg
ลำบากใจ,neg
ล่มจม,neg
ล่มสลาย,neg
ล่วงประเวณี,neg
ล่วงละเมิด,neg
ล่อแหลม,neg
กดหัว,neg
ไฟไหม้,neg
น้ำท่วม,neg
สึนามิ,neg
ทำบาป,neg
ทำบาปทำกรรม,neg
ไอ้เวร,neg
ไอ้บ้า,neg
ไอ้,neg
คิดมาก,neg
คิดมิดีมิร้าย,neg
คิดร้าย,neg
ถุย,neg
ถุยน้ำลาย,neg
ปาดคอ,neg
รุม,neg
รุมล้อม,neg
ชั่งแม่ง,neg
แม่ง,neg
มั่ว,neg
มั่วซั่ว,neg
มั่วนิ่ม,neg
มั่วสุม,neg
ติดคุก,neg
คุก,neg
ไม่มีแรง,neg
ไม่มีใคร,neg
ไม่มีสติ,neg
ไม่มีน้ำใจ,neg
ไม่มี,neg
ไม่มีการศึกษา,neg
แย่,neg
คอรัปชัน,neg
เหลื่อมล้ำ,neg
เปียก,neg
ทรมาน,neg
โกง,neg
ค้างชำระ,neg
ชอบกล,neg
ชัดช้า,neg
ความหดหู่,neg
หดหู่,neg
หดหู่ใจ,neg
ความสูญเสีย,neg
ความหงุดหงิด,neg
อย่างเคร่งเครียด,neg
ตึงเครียด,neg
ความเคร่งเครียด,neg
ผิดจารีตประเพณี,neg
ผิดจังหวะ,neg
ผิดคำพูด,neg
ผิดคำสัตย์,neg
มดเท็จ,neg
ม้วนหน้า,neg
จก,neg
เซ็ง,neg
ช่างมัน,neg
ทาส,neg
ภาวะมลพิษ,neg
ภาวะวิกฤติ,neg
ภาวะสงคราม,neg
ละเหี่ยใจ,neg
แคบ,neg
ดูถูกดูแคลน,neg
อิจฉาริษยา,neg
สงสาร,neg
โมโห,neg
โรคจิต,neg
อีห่า,neg
ไม่เกรงใจ,neg
แทงคอ,neg
เหนื่อย,neg
โหยหา,neg
ฝืน,neg
ร่วงโรย,neg
อำเภอใจ,neg
ขี้ข้า,neg
อันตราย,neg
ความผิดพลาด,neg
ถอยหลัง,neg
อดตาย,neg
อดนอน,neg
อดหลับอดนอน,neg
ความไม่แน่นอน,neg
คับอกคับใจ,neg
คับแค,neg
คับแคบ,neg
คับแค้น,neg
คับแค้นใจ,neg
คับใจ,neg
คาดโทษ,neg
ยอมแพ้,neg
บ้า,neg
เคียดแค้น,neg
ชั่วร้าย,neg
ไม่ทน,neg
หวงห้าม,neg
ล้มเหลว,neg
เศร้าโศก,neg
ไม่ยุติธรรม,neg
น่าเวทนา,neg
ขม,neg
ไม่มีอารมณ์,neg
ทุกข์ยาก,neg
ยากจน,neg
ไม่เพียงพอ,neg
อึดอัด,neg
ขี้ขลาด,neg
เงอะงะ,neg
ลังเล,neg
ดื้อดึง,neg
หายไป,neg
เยาะเย้ย,neg
เสแสร้ง,neg
ซับซ้อน,neg
ใจร้อน,neg
พังทลาย,neg
พังพินาศ,neg
พังยับเยิน,neg
อกคราก,neg
ขี้อาย,neg
ย่ำแย่,neg
แย่จัง,neg
แย่มาก,neg
ใจลอย,neg
ใจสลาย,neg
เสี่ยง,neg
ขอโทษ,neg
อกจะแตก,neg
เป็นไปไม่ได้,neg
ฟุ้งซ่าน,neg
ดรามา,neg
ดราม่า,neg
ไม่ดี,neg
หมดกำลัง,neg
หมดกำลังใจ,neg
หมดความรู้สึก,neg
หมดค่า,neg
หมดจิตหมดใจ,neg
หมดตัว,neg
ให้การเท็จ,neg
เสียกำลัง,neg
เสียกำลังใจ,neg
ความเดือดร้อน,neg
เอาแต่ใจตัวเอง,neg
ไม่,neg
ไม่เรื่อง,neg
ทำกลับไม่,neg
ช่างเลวจริงๆ,neg
ผลงานย่ำแย่จนใกล้ตกชั้น,neg
อึดอัดไม่รัก,neg
ปวดหัวแท้ล้า,neg
ไม่เงินโว้ย,neg
ขี้เกียจล้านตัว,neg
แย่ว่ะ,neg
ทำไม่วะ,neg
ไม่ชอบ,neg
ร้อนตัวหรอ,neg
ไม่น่ารัก,neg
อำลานี้ไม่เจออีกน่ะ,neg
เวลาเหนื่อยนี่บ่นใครบ้าง,neg
เสียความรู้สึก,neg
นกบ่อยขนาดนี้ควรไปตายเกิดใหม่เถอะ,neg
เจ็บเจ็บอีก,neg
อิจฉาจัง,neg
ไม่ต่างสัตว์เดรัจฉาน,neg
หยังอายคิดอาย,neg
ลั่นเบศพ,neg
ทุเรดสุด,neg
แบล็กลิสต์,neg
เพ้อเจ้อกคิดไปเอง มโนไปเอง,neg
ไม่ซาบซึ้ง,neg
ถูกทัณฑ์ทรนแห่งนรก,neg
ข่มขู่บีบบังคับ,neg
เดี่ยวเสียทีหลัง,neg
เธอมองข้าม,neg
นี้ไงถึงไม่อยากให้รู้เพราะว่าวุ่นวายเเค่นี้กพอเเล้ว,neg
หลอกให้รัก,neg
เเล้วทิ้งไป,neg
ขี้คร้าน,neg
อยู่ใกล้เอื้อม่ไปหาไม่,neg
สวยไงขนาดครีมยังขี้เกียจทา,neg
เมื่อยๆๆร่างกายอ่อนเพลีย,neg
ไม่น้ำหนัก,neg
ไม่เคย,neg
หัวร้อน,neg
ยากกว่ากหลายเท่า,neg
เพราะผิดหวังเยอะ,neg
เจ็บเยอะ,neg
นั่งเสีย,neg
เสียน้ำตา,neg
มันแย่ก,neg
เบื่อจริงๆ,neg
เสื่อม,neg
เรื่องนี้บางครั้งมันเกินขอบเขตของคำว่าพอเกินไป,neg
ว่างไม่อะไรทำ,neg
ไม่สร้างสรรค์,neg
สนุกบนความทุกข์ความไม่สบายของอื่น,neg
กลัวเจ็บ,neg
ราคาแพงเกินไปไม่คุ้ม,neg
ทรณการเมินใส่เเต่ไม่บอกเลิก,neg
เลิกเถอะ,neg
ชอบขี้งอนและน้อย,neg
มันรู้สึกเหนื่อยจนไม่รู้ว่าระบายออกยังไง,neg
หิวกขี้เกียจลุกไปกิน,neg
เครียดปวดหัว,neg
มันเจ็บๆหัวว่ะ,neg
ล้มโดนเหยียบซ้ำโดนนินทาสารพัดผิดไปหมด,neg
อันตรายสุด,neg
อันตรายกกว่าคิด,neg
ร้องไห้เสียการลาจาก,neg
เบื่อละคร,neg
ฆ่าตัวตายจากปัญหาความเครียด,neg
สังเวยชีวิต,neg
น่ากลัวคือสังเวยชีวิต,neg
อีเหี้ย,neg
เหี้ยกว่านั้นคือกูร้องไห้ตาม,neg
ความตาย,neg
ขู่ให้ลบทันที,neg
โบกมืออำลา,neg
เสียกสอบไม่ติด,neg
กูโง่ขนาดนั้นหรอ,neg
ความรู้สึกกูเหี้ยก,neg
ผิดเองไม่พร้อม,neg
ประกาศช้า,neg
ไม่อยากลุ้น,neg
หมดอารมณ์,neg
สอบไม่ติดเสียหลาย,neg
เหนื่อยก,neg
อย่าน้อยเพราะทำไม่,neg
โครตผี,neg
โดดเดี่ยวไม่ใคร,neg
เหนื่อยจนไม่อยากทำอะไรละ,neg
ไม่ใครให้กำลัง,neg
หยิ่งเกินไป,neg
ฝันสลาย,neg
เหมือนฟ้าผ่าฟาดกลาง,neg
แพ้,neg
คือสุดยอดแห่งความห่วยแตก,neg
ความกังวล,neg
เจ็บ สุดๆด้วย,neg
หลอกแฟนๆ ด้วยมุขเดิมๆ,neg
หายหน้าหายตา ร้างราไปจากวงการตามกาลเวลา,neg
ยอมแพ้ ไม่รู้ทำยังไง,neg
ทอดทิ้ง,neg
ทุกอย่างไร้ค่า,neg
หวังอะไรลมๆ แล้งๆ,neg
น้ำใต้ศอก,neg
ไม่เห็นอะไร,neg
ไม่รู้หวังอะไร,neg
กลัวว่ามันไม่อนาคต,neg
อันนี้ค่อนข้างแย่อยู่,neg
ทำร้ายร่างกาย,neg
รำคาญ,neg
น่าเสียดาย,neg
ถึงไม่รัก,neg
ทรนเหมือนกันทำไม่,neg
ฉันเสียเธอไป,neg
มันยิ่งทำให้เค้าเจ็บปวด,neg
เจ็บแทบตาย,neg
ความหวังสุดท้ายหายไปละ,neg
โคตรทรน,neg
ท้อหมดแรง,neg
แพ้ให้ความไม่ชัดเจน,neg
ไม่พอ,neg
จนไม่เงินซื้อ,neg
หลอกว่ายังรักไหม,neg
พลาดหลายๆอย่างสำคัญไป,neg
พบการทุจริตคอรัปชั่น,neg
ให้ยากกว่าเดิม,neg
ไม่ความหย,neg
ออกอย่างรุนแรง,neg
ความน่ากลัว,neg
กลิ่นเหม็นจากดาวมรณะ,neg
อาคารบังอาจมองไม่เห็น,neg
กูปากหชอบด่า,neg
หลอกให้รักจากไป,neg
ไม่ใครเห็นค่า,neg
ใส่กเกินไป,neg
เกินพอเกินไป,neg
ร้องไห้งอแงไม่ปลอบ,neg
กำแย่,neg
เจ้าชู้,neg
หน้าแบบเซ็งก,neg
ขัดจังหวะ,neg
